PlantID,Rack,Block,Mom,Site,Site.num,CorollaWidth,CorollaLength,PetalLength,Color,NectarAmt,NectarConc,Root,Fdate
AM_003_B_E,56,G,AM_003,72high,13,NA,NA,NA,NA,NA,NA,7.22,731
AM_003_B_G,59,B,AM_003,72high,13,2.616666667,43.33333333,11.66666667,NA,NA,NA,6.73,627
AM_003_B_H,59,B,AM_003,72high,13,2.566666667,43.33333333,10.16666667,NA,NA,NA,7,638
AM_003_B_I,11,B,AM_003,72high,13,2.583333333,40.83333333,11.33333333,0.1382,16,20,6.35,507
AM_003_B_J,58,B,AM_003,72high,13,NA,NA,NA,NA,NA,NA,7.34,674
AM_003_B_K,51,B,AM_003,72high,13,NA,NA,NA,0.1472,7.166666667,20.33333333,6.1,575
AM_003_B_L,11,B,AM_003,72high,13,NA,NA,NA,NA,NA,NA,7.83,655
AM_004_1_A,85,G,AM_004,72high,13,2.866666667,38.66666667,9,NA,NA,NA,10.32,655
AM_004_1_B,45,G,AM_004,72high,13,2.65,39.83333333,10.66666667,0.1021,25.66666667,16.66666667,NA,424
AM_004_1_C,21,G,AM_004,72high,13,3.45,38.5,11,0.3258,NA,NA,9.96,575
AM_004_1_D,85,G,AM_004,72high,13,3.2,42.33333333,9.666666667,0.1018,22.5,19.83333333,5.96,292
AM_004_1_E,87,G,AM_004,72high,13,3.25,47.33333333,10,0.1243,34,18.83333333,7.57,392
AM_004_1_G,75,B,AM_004,72high,13,3.1,46,12.33333333,0.0875,32,18.5,6.69,445
AM_004_2_B,45,G,AM_004,72high,13,2.866666667,44.16666667,12.5,0.1228,20,20.5,NA,410
AM_004_2_D,30,G,AM_004,72high,13,2.816666667,42.66666667,12.66666667,0.105,14.16666667,20.66666667,7.62,543
AM_004_3_A,85,G,AM_004,72high,13,3.033333333,40.33333333,9.833333333,0.1364,14.83333333,20.33333333,7.93,489
AM_004_3_F,36,B,AM_004,72high,13,3.133333333,42.33333333,11.16666667,0.1237,10.33333333,20,5.72,184
AM_004_B_A,46,G,AM_004,72high,13,2.633333333,45.66666667,12,0.2327,27.66666667,18.5,NA,78
AM_004_B_F,36,B,AM_004,72high,13,2.633333333,41.66666667,12,0.1919,NA,NA,4.81,456
AM_004_B_G,36,B,AM_004,72high,13,2.833333333,43,11.5,0.2157,24.33333333,18.83333333,4.22,124
AM_004_B_H,36,B,AM_004,72high,13,2.775,41,12.5,0.1592,17.83333333,20,4.84,246
AM_004_B_J,59,B,AM_004,72high,13,2.5,38.33333333,11,0.2624,21.5,21,5.68,421
AM_004_B_K,36,B,AM_004,72high,13,NA,NA,NA,0.2563,NA,NA,5.03,352
AM_005_1_B,37,B,AM_005,72high,13,NA,NA,NA,NA,NA,NA,7.88,686
AM_005_B_F,75,B,AM_005,72high,13,2.45,44,10.66666667,0.1284,17.33333333,21.66666667,5.29,456
AM_005_B_I,59,B,AM_005,72high,13,3.033333333,44.33333333,11.83333333,NA,25.5,22.33333333,7.43,632
AM_006_1_A,55,B,AM_006,72high,13,2.966666667,45.16666667,9.666666667,NA,30,18.66666667,7.62,334
AM_006_1_B,66,B,AM_006,72high,13,2.5,53.33333333,10.66666667,0.281,28.66666667,20.66666667,7.42,401
AM_006_1_C,37,B,AM_006,72high,13,NA,NA,NA,0.2379,15,24,8.72,433
AM_006_2_C,66,B,AM_006,72high,13,2.666666667,43.66666667,8.333333333,0.2713,20.83333333,20.16666667,8.29,320
AM_006_2_H,59,B,AM_006,72high,13,2.833333333,44.08333333,10,0.5492,31.66666667,19.83333333,7.9,221
AM_006_3_A,57,B,AM_006,72high,13,3.233333333,41.5,8.666666667,0.3445,21.5,21,6.2,477
AM_006_3_B,83,B,AM_006,72high,13,2.783333333,41.16666667,7.666666667,0.1594,18.66666667,20.83333333,5.74,309
AM_006_3_C,39,B,AM_006,72high,13,2.883333333,45.66666667,12.66666667,0.3397,17.16666667,23.16666667,7.56,392
AM_006_3_E,39,B,AM_006,72high,13,2.825,47.16666667,10.83333333,0.2736,22.33333333,19.5,6.37,281
AM_006_3_H,26,B,AM_006,72high,13,3.066666667,46,11.5,0.4562,23.5,21,5.82,221
AM_006_B_C,83,B,AM_006,72high,13,2.666666667,50,10,0.269,22.66666667,19.16666667,5.15,132
AM_006_B_G,87,G,AM_006,72high,13,NA,NA,NA,NA,NA,NA,9.5,729
AM_006_B_I,56,G,AM_006,72high,13,NA,NA,NA,NA,NA,NA,10.97,744
AM_007_1_B,55,B,AM_007,72high,13,2.866666667,40.66666667,10.33333333,NA,15.25,18.75,8.46,593
AM_007_1_F,41,G,AM_007,72high,13,2.766666667,44.33333333,12,0.1229,21.83333333,22.16666667,5.61,320
AM_007_B_A,18,G,AM_007,72high,13,2.966666667,44.33333333,11.5,0.1602,27.5,20.5,5.46,507
AM_007_B_B,47,G,AM_007,72high,13,2.65,42.66666667,11.66666667,0.1505,30.66666667,19.16666667,6.1,20
AM_008_2_A,18,G,AM_008,72high,13,NA,NA,NA,NA,NA,NA,NA,142
AM_008_B_C,78,G,AM_008,72high,13,3.25,44.5,8.5,0.1493,34.16666667,19.83333333,6.36,587
AM_008_B_F,15,G,AM_008,72high,13,2.916666667,47,8.666666667,0.2216,24,19.5,5.19,352
AM_008_B_H,77,G,AM_008,72high,13,NA,NA,NA,0.1415,28,19.66666667,4.86,489
AM_008_B_K,20,G,AM_008,72high,13,3.133333333,43.66666667,6.5,0.2251,28,18.5,6.17,651
AM_010_2_A,14,G,AM_010,72high,13,NA,NA,NA,0.2627,22.25,20.75,6.11,543
