Pop,Dam,CorollaWidth,CorollaLength,PetalLength,Color,NectarAmt,NectarConc,Root,Fdate
4,AM_022,3.466666667,45.83333333,12.33333333,1.069,18.16666667,21.5,6.95,132
4,AM_023,3.166666667,45.66666667,9.333333333,0.1936,16,21.25,5.78,352
4,AM_023,2.733333333,31,11.66666667,0.1046,26.83333333,19.33333333,6.29,246
4,AM_023,2.833333333,45.33333333,11.66666667,0.5083,31.83333333,22.16666667,5.8,233
4,AM_023,2.5,41.66666667,10.33333333,0.1352,11,19.5,4.63,221
4,AM_023,NA,NA,NA,0.1517,30,21.25,NA,78
4,AM_024,3,49.5,11.66666667,0.351,26,18.83333333,6.68,320
4,AM_024,3.233333333,43.33333333,11.66666667,0.0937,9.333333333,21.66666667,6.26,489
5,AM_053,3.233333333,42.33333333,10.33333333,0.1732,21.83333333,17.66666667,6.62,593
5,AM_053,2.616666667,38.83333333,10.33333333,0.0984,17.5,17.5,4.36,161
5,AM_054,3.266666667,45.33333333,11.5,0.2602,33.5,21,5.39,246
5,AM_055,NA,NA,NA,0.2325,17,19.5,4.51,49
5,AM_055,NA,NA,NA,NA,NA,NA,8.03,NA
5,AM_057,2.9,42,14,0.3653,24.5,20.5,6.5,489
5,AM_057,3.525,42.25,11,0.1838,26.75,18.5,6.59,477
5,AM_057,NA,NA,NA,NA,NA,NA,9.83,697
5,AM_057,NA,NA,NA,NA,NA,NA,8.86,NA
5,AM_057,NA,NA,NA,NA,NA,NA,8.45,680
5,AM_057,NA,NA,NA,0.2697,NA,NA,5.01,477
5,AM_059,NA,NA,NA,0.2619,21.5,20,5.49,671
5,AM_059,NA,NA,NA,0.2035,NA,NA,5.85,467
