pop,dam,Corollawidth,Corollalength,Petallength,color492,nectaramt,nectarconc,Root,fdate,ln_Corollawidth,ln_Corollalength,ln_Petallength,ln_color_adj,ln_nectaramt,ln_nectarconc,ln_Root,ln_fdate
5,TJ_176,4.466666667,30,15.66666667,4,79.33333333,21.5,6.4,161,1.496642418,3.401197382,2.751535313,-1.694743669,4.373658385,3.068052935,1.85629799,5.796057751
5,TJ_176,NA,NA,NA,NA,NA,NA,11.08,605,NA,NA,NA,NA,NA,NA,2.405141681,6.486160789
5,TJ_176,NA,NA,NA,NA,NA,NA,9,646,NA,NA,NA,NA,NA,NA,2.197224577,6.539585956
5,TJ_179,3.233333333,35.33333333,12.5,4,54.33333333,19.83333333,4.84,184,1.173513597,3.564826805,2.525728644,-1.035139866,3.995137912,2.987364024,1.576914721,5.840641657
5,TJ_179,3.416666667,31.83333333,11.16666667,4,51.2,21.7,5.71,43,1.228665417,3.460513959,2.41293315,-1.514797508,3.935739532,3.077312261,1.742219024,3.295836866
5,TJ_179,NA,NA,NA,NA,NA,NA,8.27,695,NA,NA,NA,NA,NA,NA,2.112634509,6.590301048
5,TJ_179,NA,NA,NA,4,29.75,26.5,5.93,507,NA,NA,NA,-1.341100846,3.392829132,3.277144733,1.780024213,6.376726948
5,TJ_179,3.9,31.5,12,4,43,24,5.25,112,1.360976553,3.449987546,2.48490665,-1.355770719,3.761200116,3.17805383,1.658228077,5.613128106
5,TJ_181,3.866666667,30.66666667,14,4,120.5,17.5,5.32,281,1.35239281,3.423176288,2.63905733,-1.408483843,4.791649753,2.862200881,1.671473303,6.03787092
5,TJ_181,3.716666667,29.33333333,12.66666667,4,81,22.16666667,4.6,43,1.312827209,3.378724526,2.538973871,-1.46637553,4.394449155,3.098589659,1.526056303,5.370638028
5,TJ_183,3.6,29.75,8.75,4,74.83333333,20.5,6.26,281,1.280933845,3.392829132,2.1690537,-1.353706601,4.315263418,3.020424886,1.834180185,6.03787092
5,TJ_185,3.366666667,30,12.33333333,4,60.5,23.5,6.91,352,1.213923135,3.401197382,2.512305624,-1.264126727,4.102643365,3.157000421,1.932969638,6.173786104
5,TJ_185,3.833333333,30.83333333,12.5,4,63.83333333,21.66666667,5.59,5,1.343734747,3.428596356,2.525728644,-1.594679541,4.15627552,3.075774981,1.720979287,1.386294361
5,TJ_185,4.966666667,31.66666667,13.33333333,4,40,16,8.74,5,1.602748924,3.455264603,2.590267165,-1.725397064,3.688879454,2.772588722,2.16791019,4.290459441
5,TJ_190,NA,NA,NA,NA,41,22.5,7.71,668,NA,NA,NA,NA,3.713572067,3.113515309,2.042518188,6.56526497
5,TJ_190,3.583333333,29.66666667,10.83333333,4,27.5,19.25,6.12,124,1.276293466,3.390024081,2.3826278,-1.153416081,3.314186005,2.957511061,1.811562097,5.648974238
5,TJ_190,3.366666667,30,14,4,42.5,20.5,6.37,142,1.213923135,3.401197382,2.63905733,-1.265608679,3.749504076,3.020424886,1.85159947,5.736572297
5,TJ_190,4.233333333,36.5,10.5,4,69.16666667,18.5,5.41,367,1.442989705,3.597312261,2.351375257,-1.216098984,4.236519051,2.917770732,1.688249093,5.252273428
6,AM_073,2.916666667,41,11.33333333,0.0865,28,18.66666667,5.36,367,1.070441412,3.713572067,2.427748236,-4.878061329,3.33220451,2.926739402,1.678963975,6.192362489
6,AM_080,2.883333333,37.83333333,13.66666667,0.1559,19.16666667,21.16666667,5.26,477,1.058947032,3.633190548,2.614959778,-4.619056644,2.953172659,3.052427617,1.660131027,5.686975356
6,AM_080,3.133333333,39,10,0.0643,21,19.66666667,5.39,233,1.142097401,3.663561646,2.302585093,-5.345105973,3.044522438,2.978925155,1.684545385,4.812184355
6,AM_087,2.8,39,10.66666667,0.0664,22,20.66666667,4.43,161,1.029619417,3.663561646,2.367123614,-5.195880952,3.091042453,3.028522097,1.488399584,4.465908119
6,AM_087,3.233333333,39.16666667,10,0.0882,13.83333333,21.16666667,4.81,212,1.173513597,3.667826045,2.302585093,-5.008365146,2.627081138,3.052427617,1.570697084,4.718498871
6,AM_089,3.2,38.33333333,10.33333333,0.1442,28.5,19,5.04,132,1.16315081,3.64631984,2.335374915,-4.703816115,3.349904087,2.944438979,1.617406082,5.686975356
6,AM_093,2.7,35.83333333,11.66666667,NA,NA,NA,7.9,716,0.993251773,3.578878559,2.456735773,NA,NA,NA,2.066862759,6.609349243
6,AM_093,3.1,40.33333333,10.5,0.2268,14.33333333,24,5.58,78,1.131402111,3.697178257,2.351375257,-3.821252769,2.662587827,3.17805383,1.719188776,5.484796933
6,AM_093,2.833333333,30,9.5,0.9136,18,21.25,6.35,233,1.041453875,3.401197382,2.251291799,-2.430821186,2.890371758,3.056356895,1.848454813,5.963579344
6,AM_213,3.3,36.66666667,13.33333333,2.9682,52.16666667,19.16666667,8.74,623,1.193922468,3.601868077,2.590267165,-1.679683284,3.954443721,2.953172659,2.16791019,6.269096284
7,AM_117,4.833333333,35.16666667,9.166666667,4,36.83333333,25.16666667,4.44,382,1.575536361,3.560098664,2.215573716,-1.522571979,3.606403232,3.225520368,1.490654376,5.288267031
7,AM_120,3.7,26.5,8.333333333,4,38.33333333,21.66666667,4.59,221,1.30833282,3.277144733,2.120263536,-1.190583567,3.64631984,3.075774981,1.523880024,5.937536205
7,AM_121,4.15,39.75,10.625,4,143.6666667,10.66666667,4.63,194,1.423108334,3.682609841,2.363209715,-1.602111137,4.967495802,2.367123614,1.532556868,5.866468057
7,AM_121,3.366666667,29.66666667,12,4,44,22.5,6.24,401,1.213923135,3.390024081,2.48490665,-1.274035104,3.784189634,3.113515309,1.830980182,6.238324625
7,AM_121,3.5,34.66666667,12,4,89.33333333,21,6.27,212,1.252762968,3.545778611,2.48490665,-1.44497592,4.492374692,3.044522438,1.835776355,5.916202063
7,AM_121,NA,NA,NA,4,24.5,26.25,6.06,567,NA,NA,NA,-1.143585654,3.198673118,3.267665989,1.8017098,6.442540166
7,AM_121,2.75,30.33333333,11,4,68.16666667,18.66666667,5.2,445,1.011600912,3.412247218,2.397895273,-1.283915507,4.221955687,2.926739402,1.648658626,6.304448802
7,AM_121,3.166666667,36.66666667,11.66666667,4,79.16666667,17.33333333,4.99,267,1.15267951,3.601868077,2.456735773,-1.139114232,4.371555335,2.85263143,1.60743591,6.013715156
7,AM_121,3.3,34.66666667,11.16666667,4,41.5,22.5,4.99,320,1.193922468,3.545778611,2.41293315,-1.353254507,3.725693427,3.113515309,1.60743591,6.120297419
7,AM_121,3.966666667,32.66666667,13.33333333,3.4637,70.16666667,17,4.75,78,1.377926112,3.48635519,2.590267165,-1.779988136,4.250873365,2.833213344,1.558144618,5.484796933
7,AM_121,NA,NA,NA,NA,53,24,7.88,543,NA,NA,NA,NA,3.970291914,3.17805383,2.064327904,6.415096959
7,AM_122,3,34.5,9.5,4,57,18,6.76,367,1.098612289,3.540959324,2.251291799,NA,4.043051268,2.890371758,1.91102289,5.252273428
7,AM_122,3.466666667,33.66666667,12,4,75.5,21.16666667,6.19,417,1.243193518,3.516508228,2.48490665,-1.534822119,4.324132656,3.052427617,1.822935087,6.269096284
7,AM_122,3.466666667,30,8,4,36.5,21.5,6.64,587,1.243193518,3.401197382,2.079441542,-1.430131805,3.597312261,3.068052935,1.893111963,6.467698726
7,AM_122,3.766666667,32.66666667,9.833333333,NA,61.33333333,20.16666667,6.14,507,1.326190437,3.48635519,2.285777975,NA,4.116323469,3.004031077,1.814824742,6.376726948
7,AM_122,3.6,31.66666667,7.333333333,4,64,17.83333333,6.22,583,1.280933845,3.455264603,1.992430165,NA,4.158883083,2.881069365,1.827769907,6.464588304
7,AM_122,3.533333333,33.33333333,10.33333333,NA,129.5,12.25,6.3,605,1.262241712,3.506557897,2.335374915,NA,4.863680881,2.505525937,1.840549633,6.486160789
7,AM_122,3.566666667,30.33333333,10,4,83,13,5.8,567,1.271631453,3.412247218,2.302585093,-1.436512077,4.418840608,2.564949357,1.757857918,6.442540166
7,AM_123,3.883333333,33.66666667,8.333333333,4,83.33333333,19,4.28,161,1.356693891,3.516508228,2.120263536,-1.408850547,4.422848629,2.944438979,1.45395301,5.796057751
7,AM_125,NA,NA,NA,4,66,13.66666667,5.69,593,NA,NA,NA,-1.172559534,4.189654742,2.614959778,1.738710248,6.478509642
